fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold2,42,GateC,0.5,0.3,0.3,0.1,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.006979125839201952,39807,79093,40359
fold2,42,GateC,0.5,0.3,0.3,0.2,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.006764188992704791,39807,79093,40342
fold2,42,GateC,0.5,0.3,0.5,0.05,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.0070676292465831365,39807,79093,40366
fold2,42,GateC,0.5,0.3,0.5,0.1,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.006979125839201952,39807,79093,40359
fold2,42,GateC,0.5,0.3,0.5,0.2,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.006764188992704791,39807,79093,40342
fold2,42,GateC,0.5,0.3,0.7,0.05,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.0070676292465831365,39807,79093,40366
fold2,42,GateC,0.5,0.3,0.7,0.1,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.006979125839201952,39807,79093,40359
fold2,42,GateC,0.5,0.3,0.7,0.2,0.2521926770336198,0.5043816883915273,3.665675712332433e-06,0,-4.4116078856681895e-07,0.006764188992704791,39807,79093,40342
fold2,42,GateC,0.6,0.05,0.3,0.05,0.26160384135738773,0.5232068097655515,8.729492240354348e-07,0,0.009410723162979362,0.3155399340017448,39807,79093,64764
fold2,42,GateC,0.6,0.05,0.3,0.1,0.26160384722038255,0.5232068097655515,8.846752136122026e-07,0,0.009410729025974174,0.30631029294627843,39807,79093,64034
fold2,42,GateC,0.6,0.05,0.3,0.2,0.26160385468243497,0.5232068097655515,8.995993184635564e-07,0,0.009410736488026594,0.29542437383839276,39807,79093,63173
fold2,42,GateC,0.6,0.05,0.5,0.05,0.26160384134456044,0.5232068097655515,8.729235694310313e-07,0,0.009410723150152067,0.315565220689568,39807,79093,64766
