source,method,fold,seed,tau_overlap,tau_dual,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,acceptance_ratio,notes
G1a,GateA,2,42,0.6,0.1,0.2575802036209783,0.5151590007181239,1.406523832608661e-06,0.0,0.005387085426569904,0.13676305109175274,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.6,0.2,0.25257652613868875,0.5051507931527732,2.2591246042766736e-06,0.0,0.0003834079442803784,0.03121641611773482,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.6,0.3,0.25257247835081287,0.5051409819966483,3.974704977523044e-06,0.0,0.0003793601564044957,0.0048297573742303365,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.7,0.05,0.2620122918465759,0.5240237117433412,8.719498105689037e-07,0.0,0.009819173652167501,0.32454199486680235,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.7,0.1,0.2573901428108046,0.5147789413524972,1.3442691119220539e-06,0.0,0.005197024616396206,0.1514546167170293,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.7,0.2,0.2525339052097614,0.5050656184801605,2.1919393621894842e-06,0.0,0.0003407870153530057,0.03771509488829606,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,42,0.7,0.3,0.25258624774164773,0.5051686874101805,3.8080731150038083e-06,0.0,0.000393129547239357,0.007257279405257102,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,P0_rgb_only,2,1337,0.0,0.0,0.2542969654948898,0.5085837691798935,1.016180988608611e-05,0.0,0.0,0.0,
G1a,P1_dual_only,2,1337,0.0,0.0,0.20133280507426063,0.40266561014852126,0.0,0.0,-0.05296416042062915,1.0,
G1a,GateA,2,1337,0.5,0.05,0.2539570949108408,0.5079085061304651,5.683691216423594e-06,0.0,-0.00033987058404899573,0.11695579182988249,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,1337,0.5,0.1,0.25402912048161713,0.5080509501016003,7.290861634027909e-06,0.0,-0.00026784501327264953,0.05635942121672396,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,1337,0.5,0.2,0.2541343180365958,0.5082601857260232,8.450347168429503e-06,0.0,-0.0001626474582939741,0.028539451594851706,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,1337,0.5,0.3,0.2542084470893113,0.5084067358440476,1.0158334574907559e-05,0.0,-8.85184055784971e-05,0.002638100567591334,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,1337,0.6,0.05,0.2539033026853182,0.5078009968037374,5.608566898985972e-06,0.0,-0.0003936628095715933,0.1231913022623711,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,1337,0.6,0.1,0.2539802068067307,0.5079531441640496,7.269449411901542e-06,0.0,-0.00031675868815905783,0.05887760812215205,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
G1a,GateA,2,1337,0.6,0.2,0.2541015313260519,0.5081946147083333,8.447943770486263e-06,0.0,-0.00019543416883788245,0.02961867455432089,"GateA locked: tau_overlap=0.7, tau_dual=0.05"
